u_id,parent_compositeterm,parent_public_id,child_compositeterm,child_public_id
"1139","green parti",1682,"congress",1698
"1139","green parti",1682,"record",1692
"1139","green parti",1682,"friend",1681
"1139","green parti",1682,"outsid",1680
"1139","green parti",1682,"gyg",1595
"1139","green parti",1682,"gyg",1594
"1139","green parti",1682,"gg",1593
"1139","green parti",1682,"gg",1592
"1139","green parti",1682,"congress",1588
"1139","green parti",1682,"gg",1583
"1139","green parti",1682,"gg",1582
"1173","anim",1260,"hors",1259
"1173","anim",1260,"swan",1258
"1173","anim",1260,"duck",1257
"1173","anim",1260,"gull",1256
"1173","anim",1260,"goos",1255
"1173","anim",1260,"bird",1254
"1181","cosa",1569,"nube",1760
"124","anim",1769,"bird",1752
"124","anim",1769,"mammal",1639
"124","anim",1769,"reptil",1605
"124","anim",1769,"bug",1604
"124","bird",1752,"mallard",1645
"124","bird",1752,"mute swan",1632
"124","bird",1752,"grei heron",1631
"124","bird",1752,"her gull",1619
"124","bird",1752,"great crest grebe",1617
"124","bug",1604,"butterfli",1575
"124","bug",1604,"snail",1561
"124","film",1627,"camera",1610
"124","mammal",1639,"bear",1574
"124","mammal",1639,"hors",1560
"124","mammal",1639,"cat",1559
"124","misc",1626,"favorit",1660
"124","misc",1626,"challeng",1647
"124","peopl",1659,"close",1629
"124","peopl",1659,"studio",1613
"124","peopl",1659,"misc peopl",1611
"124","reptil",1605,"beard dragon",1630
"1303","wed",1842,"bachelorett",1843
"1331","new york state",1484,"long island",1485
"1360","fauna",1845,"bird",1831
"1360","fauna",1845,"insect",1830
"1360","fauna",1845,"zoo",1828
"1384","itali",1817,"civita di bagnoregio",1733
"1384","itali",1817,"perugia",1530
"1384","itali",1817,"assisi",1529
"1435","grow thing",1802,"from garden",1804
"1507","pacif northwest",1824,"oregon coast",1832
"1950","dinamarca",1722,"københavn",1728
"1951","photo walk",1435,"bear creek park",1468
"1951","stuff",1434,"get",818
"1951","stuff",1434,"freddi",135
"2091","project",1236,"stranger",1496
"2091","project",1236,"anim",1483
"2131","food_drink",1634,"food",265
"2156","california",1419,"cali",1418
"2172","live thing",1326,"animalia",1340
"2172","live thing",1326,"humanoid",1339
"2172","live thing",1326,"planta",1337
"2304","person work",1650,"natur photographi",1620
"2304","profession work",1621,"lifestyl",1646
"2304","profession work",1621,"han",1622
"237","agra",1729,"taj mahal",1736
"237","australasia",1671,"australia",1670
"237","australasia",1671,"fiji",1668
"237","australasia",1671,"new zealand",1667
"237","australasia",1671,"papua new guinea",1666
"237","australasia",1671,"tahiti",1665
"237","central america",1644,"mexico",1643
"237","central america",1644,"guatemala",1607
"237","central america",1644,"costa rica",1606
"237","costa rica",1606,"manzanillo",1654
"237","costa rica",1606,"aren",1624
"237","indonesia",1758,"bali",1779
"237","indonesia",1758,"java",1757
"237","jamaica",1787,"rockland",1784
"237","jamaica",1787,"black river",1783
"237","libya",1658,"tripoli",1657
"237","libya",1658,"lepti magna",1638
"237","libya",1658,"sabratha",1633
"237","new zealand",1667,"christchurch",1649
"237","new zealand",1667,"fox glacier",1648
"237","new zealand",1667,"wanaka",1642
"237","new zealand",1667,"wellington",1641
"237","new zealand",1667,"auckland",1623
"237","new zealand",1667,"gore",1618
"237","new zealand",1667,"milford sound",1616
"237","new zealand",1667,"mount cook",1615
"237","new zealand",1667,"queenstown",1614
"237","new zealand",1667,"whakarewarewa",1609
"237","new zealand",1667,"tekapo",1608
"2398","europ",1747,"alghero",1863
"2398","europ",1747,"pari",1800
"2398","europ",1747,"dublin",1762
"2540","kiev",1584,"person mythologi",1572
"2540","kiev",1584,"random",1571
"2577","camera",1805,"polaroid",1812
"2605","apg",1286,"apg model",1287
"2661","see",1313,"wild",1318
"290","california",1782,"california coast",1801
"290","california",1782,"yosemit nate park",1797
"290","california",1782,"monterei bai aquarium",1768
"2915","scottish border",1534,"traquair hous",1525
"2915","scottish border",1534,"peebl",1464
"2939","natur",1442,"alpin plant",1444
"2939","natur",1442,"plant",1439
"3305","busi",1461,"lausann",1459
"3326","caribbean",1503,"puerto rico",1501
"3326","caribbean",1503,"miami",1482
"3427","artist",1504,"backlight",1511
"3567","food_drink",1309,"starter",1310
"3567","food_drink",1309,"main cours",1302
"3567","food_drink",1309,"lunch",1301
"3567","food_drink",1309,"such",1300
"3567","food_drink",1309,"cake",1300
"3567","food_drink",1309,"coffe",1300
"3630","wed",1849,"church",1836
"4058","graduat",1481,"uva graduat",1498
"4247","cosa",1285,"juguet",1284
"4247","cosa",1285,"transport",1281
"4268","travel",1637,"san francisco",1636
"427","maryland state park",1441,"elk neck state park",1823
"427","maryland state park",1441,"cunningham park",1443
"4301","your favorit",1856,"top",1869
"4401","veget",1239,"wildflow",1238
"4401","veget",1239,"tree",1232
"4552","lomo",1276,"holga",1463
"4658","portrait",1811,"model",1821
"475","pet",1705,"peep",1717
"475","pet",1705,"pooch",1704
"4763","event",1381,"hullabaloo",1370
"4814","theme",1759,"stuff",971
"4894","thailand",1748,"bangkok",1741
"4894","thailand",1748,"chinatown",1700
"4894","thailand",1748,"chiang",1601
"5024","street",1299,"mir",1298
"5024","street",1299,"space invad",1288
"5036","friend_famili",1242,"jennif",1246
"5036","friend_famili",1242,"lauren",1241
"5036","friend_famili",1242,"heidi",1240
"5112","i love sunburnt countri",1656,"queensland",1684
"5112","i love sunburnt countri",1656,"new south wale",1679
"5112","i love sunburnt countri",1656,"thi i australia",1664
"5112","i love sunburnt countri",1656,"victoria",1663
"5112","soul",1673,"kid",1685
"5112","what i",1655,"flower",1686
"5112","what i",1655,"reptil",1675
"5112","what i",1655,"bird",1674
"5112","what i",1655,"plant",1672
"5112","what i",1655,"anim",1669
"5112","what i",1655,"insect",1661
"5247","summer",1372,"ag can",1371
"5341","anim",1283,"bird",1295
"5341","anim",1283,"sheep",1293
"5341","anim",1283,"hors",1280
"5341","anim",1283,"other anim",1278
"5437","disnei vacat",1744,"magic kingdom",1690
"5437","disnei vacat",1744,"typhoon lagoon",1689
"5437","disnei vacat",1744,"epcot",1678
"5437","disnei vacat",1744,"hollywood studio",1677
"5437","disnei vacat",1744,"anim kingdom",1676
"5564","hobbi",1272,"soccer",1271
"5695","spain",1352,"madrid",1374
"5754","all natur",1551,"tree",1550
"5754","creativ",1545,"stain glass",1552
"5754","natur",1558,"anim",1544
"5754","peopl",1542,"famili",1568
"5754","peopl",1542,"kid",1567
"5754","peopl",1542,"kid",1548
"5754","peopl",1542,"friend",1547
"5754","travel",1543,"england",1565
"5754","travel",1543,"florida",1563
"5754","travel",1543,"wisconsin",1562
"5754","travel",1543,"california",1546
"6282","zoo",1351,"frankfurt zoo",1586
"6453","jen",1369,"hen do",1347
"6662","air show",1305,"jone beach",1304
"6662","air show",1305,"jone beach",1290
"6686","parad",1394,"danc parad",1714
"6686","parad",1394,"veteran dai parad",1393
"6711","portfolio",1724,"portrait",1701
"6789","spain",1412,"toledo",1413
"6885","portfolio",1495,"photographi",1494
"6885","portfolio",1495,"other",1493
"6885","portfolio",1495,"garden walk",1478
"6885","portfolio",1495,"honor",1477
"6984","other",1358,"stuff",306
"6984","travel",1361,"san diego",441
"6992","speci",1488,"hydrangea",1510
"6992","speci",1488,"cosmo",1508
"6992","speci",1488,"lotu",1507
"6992","speci",1488,"water",1506
"6992","speci",1488,"sunflow",1505
"6992","speci",1488,"tulip",1490
"6992","speci",1488,"poppi",1489
"6992","speci",1488,"sakura",1486
"98","photoshoot",1715,"shoot",1719
"1548","spain",2536,"guadalest",1814
"237","brazil",2397,"brasilia",1709
"237","ecuador",2467,"georgetown",1662
"237","guyana",2472,"georgetown",1662
"237","south america",2483,"paraguai",1706
"2428","church",1943,"made",1470
"2442","music",2819,"duran duran",1852
"2442","music",2819,"sword",1799
"2662","on tour",2096,"oelinghoven live",1094
"2783","travel",2011,"louisiana",1798
"2939","south america",3189,"inca trail",1710
"2939","south america",3189,"cusco",1480
"3291","natur",3414,"nuvol",514
"3291","natur",3414,"sunset",116
"3592","out_about",2359,"indiana state fair",1066
"3691","australia",2193,"bondi beach",1803
"3738","asia",2302,"nepal",1854
"377","natur",2075,"reptil",1473
"377","natur",2075,"dog",1472
"3865","favorit",2901,"topfavorit",1279
"3978","portraitur",2889,"robin",1515
"4073","naturaleza",1875,"arbol",1861
"422","colour",2157,"purpl",1536
"4491","eurotrip",3190,"berlin wall",1819
"5397","anim",2131,"teddi",283
"5397","film",2323,"lubitel",1392
"5530","séri",2966,"portrait",1368
"5530","séri",2966,"skate",1367
"5530","séri",2966,"bmx",1366
"5530","séri",2966,"fleur",1365
"5530","séri",2966,"biarritz",1364
"5530","séri",2966,"car",1363
"5530","séri",2966,"chien",1346
"5530","séri",2966,"chat",1345
"5530","séri",2966,"footbal",1343
"5530","séri",2966,"bateaux",1342
"5530","séri",2966,"toi",1338
"5530","séri",2966,"zoo",1237
"5632","japan april",3124,"asakusa",1450
"5632","japan april",3124,"ueno",1402
"5712","münchen",2669,"isar",798
"5767","travel",2947,"cincinnati",1749
"5975","jack",3655,"jack week",1535
"6166","flickr",1982,"bueno air",1635
"625","live",2242,"butterfli",75
"6282","germani",1963,"frankfurt zoo",1586
"6453","event",1951,"hen do",1347
"6453","portrait session",1950,"jen",1348
"6648","technic",2253,"blur",1653
